City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Cortez,US,37.3489,-108.5859,23.41,71,1,3.44
94,Calvia,ES,39.5657,2.5062,53.42,89,47,1.01
95,Hobart,AU,-42.8794,147.3294,70.02,66,75,1.01
96,Palmares Do Sul,BR,-30.2578,-50.5097,73.58,90,97,10.56
97,Yasnyy,RU,51.0333,59.8742,27.59,96,100,15.82
98,Norman Wells,CA,65.282,-126.8329,-29.16,68,75,12.66
99,Feicheng,CN,35.2606,117.9675,37.96,61,4,3.42
100,Atar,MR,20.5169,-13.0499,63.07,27,0,10.49
101,Alice Springs,AU,-23.7,133.8833,99.95,13,0,19.57
102,Saldanha,ZA,-33.0117,17.9442,59.05,86,100,18.77
103,Chuy,UY,-33.6971,-53.4616,74.64,70,0,7.14
104,Sorland,NO,67.667,12.6934,40.41,95,100,29.1
105,Berdigestyakh,RU,62.0989,126.6992,-32.55,100,72,4.81
106,Uirauna,BR,-6.5183,-38.4122,77.68,69,13,4.94
107,Constitucion,CL,-35.3333,-72.4167,59.58,94,5,5.59
108,Pusztaszabolcs,HU,47.1372,18.767,39.69,79,66,8.5
109,Bambous Virieux,MU,-20.3428,57.7575,73.22,88,20,6.91
110,Jibuti,DJ,11.5,42.5,74.62,82,98,7.9
111,Makakilo City,US,21.3469,-158.0858,70.02,88,40,8.05
112,Dzilam Gonzalez,MX,21.2833,-88.9333,76.08,86,81,6.35
113,Coihaique,CL,-45.5752,-72.0662,47.01,86,100,8.84
114,Strezhevoy,RU,60.7333,77.5889,13.98,95,100,8.08
115,Samarai,PG,-10.6167,150.6667,85.32,69,82,6.89
116,Lorengau,PG,-2.0226,147.2712,83.39,76,100,10.36
117,Kandrian,PG,-6.2167,149.55,86.4,68,100,7.4
118,Chapais,CA,49.7834,-74.8492,-13.22,100,82,3.47
119,Siderno,IT,38.2779,16.302,57.79,85,27,11.9
120,Barinitas,VE,8.7622,-70.4111,71.67,58,40,5.41
121,Chokurdakh,RU,70.6333,147.9167,-31.4,99,97,4.07
122,Biltine,TD,14.5333,20.9167,58.89,45,95,16.35
123,Yellowknife,CA,62.456,-114.3525,-30.59,84,20,10.36
124,Pangnirtung,CA,66.1451,-65.7125,14.49,85,100,7.25
125,Kapaa,US,22.0752,-159.319,78.78,75,1,1.99
126,Shambu,ET,9.5667,37.1,50.61,85,45,1.28
127,Kralendijk,BQ,12.15,-68.2667,80.58,69,40,16.11
128,San Carlos De Bariloche,AR,-41.1456,-71.3082,51.55,58,20,21.85
129,Beringovskiy,RU,63.05,179.3167,26.02,94,100,10.31
130,Dallas,US,32.7668,-96.7836,36.0,57,1,1.01
131,Brownwood,US,31.7093,-98.9912,35.37,50,20,5.66
132,Ketchikan,US,55.3422,-131.6461,35.58,91,100,5.57
133,Marsa Matruh,EG,31.3525,27.2453,61.0,77,40,11.5
134,Kaitangata,NZ,-46.2817,169.8464,67.93,71,100,9.75
135,Ilulissat,GL,69.2167,-51.1,15.82,38,96,3.44
136,East London,ZA,-33.0153,27.9116,65.23,81,88,5.55
137,Qaanaaq,GL,77.484,-69.3632,-4.05,69,37,7.52
138,Orangeburg,US,33.4918,-80.8557,61.09,95,90,5.75
139,Isangel,VU,-19.55,169.2667,82.51,89,90,4.61
140,Port Hawkesbury,CA,45.6169,-61.3485,35.58,99,90,5.99
141,Luanda,AO,-8.8368,13.2343,76.33,88,100,5.37
142,Nanortalik,GL,60.1432,-45.2371,29.61,83,100,22.91
143,Bluff,NZ,-46.6,168.3333,68.81,69,100,6.11
144,Castro,BR,-24.7911,-50.0119,64.65,85,30,3.67
145,Townsville,AU,-19.25,146.8,88.68,74,18,8.05
146,Lasa,IT,46.6166,10.7002,41.88,73,51,5.55
147,Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,69,40,10.36
148,Port Lincoln,AU,-34.7333,135.8667,66.36,55,8,12.59
149,Katherine,AU,-14.4667,132.2667,92.86,52,93,5.88
150,Ganzhou,CN,28.8184,115.4327,53.71,38,0,2.13
151,Maun,BW,-19.9833,23.4167,73.04,65,75,3.53
152,Aksha,RU,50.2814,113.2867,1.04,85,23,3.11
153,Mount Gambier,AU,-37.8333,140.7667,67.91,52,90,18.41
154,Bosaso,SO,11.2842,49.1816,73.35,72,0,8.77
155,Veraval,IN,20.9,70.3667,70.43,66,5,10.56
156,Bredasdorp,ZA,-34.5322,20.0403,54.72,88,100,3.44
157,Ayan,RU,56.45,138.1667,-13.97,68,89,11.92
158,Ostrow Mazowiecka,PL,52.8024,21.8951,49.62,82,100,20.65
159,Atuona,PF,-9.8,-139.0333,79.2,67,23,18.01
160,Wucheng,CN,29.6008,118.175,52.65,51,0,0.22
161,Tevaitoa,PF,-16.7833,-151.5,75.54,90,100,14.14
162,Beyneu,KZ,45.3167,55.2,34.97,94,100,9.15
163,Lompoc,US,34.6391,-120.4579,55.71,57,1,3.44
164,Svetlyy,RU,54.675,20.1347,44.65,94,100,19.3
165,Tecoanapa,MX,16.5167,-98.75,77.74,76,0,4.5
166,Byron Bay,AU,-28.65,153.6167,83.05,80,99,22.17
167,Santa Cruz,BO,-17.8,-63.1667,80.06,89,100,8.05
168,Hastings,GB,50.8552,0.5729,53.38,79,28,27.4
169,Tatvan,TR,38.5067,42.2817,17.78,97,95,2.37
170,Meulaboh,ID,4.1363,96.1285,77.79,84,83,1.81
171,Upernavik,GL,72.7868,-56.1549,-2.92,83,46,7.76
172,Axim,GH,4.8699,-2.2405,79.02,82,18,3.06
173,Warrington,GB,53.3925,-2.5802,50.92,77,75,5.99
174,New Norfolk,AU,-42.7826,147.0587,69.66,40,99,3.51
175,Port Elizabeth,ZA,-33.918,25.5701,62.89,77,0,4.61
176,Shirokiy,RU,49.758,129.523,-13.11,90,82,7.29
177,Asau,RO,46.4333,26.4,31.12,89,100,8.61
178,Santa Cruz De La Palma,ES,28.6835,-17.7642,75.15,45,0,8.05
179,Praia Da Vitoria,PT,38.7333,-27.0667,58.75,94,75,15.73
180,Olinda,BR,-8.0089,-34.8553,80.33,83,40,6.91
181,Sarangani,PH,5.4033,125.4636,80.24,81,51,21.99
182,Muros,ES,42.7762,-9.0603,58.08,89,100,10.02
183,Porto Novo,BJ,6.4965,2.6036,82.22,80,13,3.22
184,Baoqing,CN,46.3317,132.2111,3.45,68,1,10.6
185,Grindavik,IS,63.8424,-22.4338,23.47,63,20,10.36
186,North Bend,US,43.4065,-124.2243,52.92,84,90,14.97
187,Bethel,US,41.3712,-73.414,40.5,81,90,1.99
188,Penzance,GB,50.1186,-5.5371,52.81,81,100,28.83
189,Rawson,AR,-43.3002,-65.1023,65.71,25,90,11.81
190,Antalaha,MG,-14.9003,50.2788,74.71,89,49,3.67
191,Northam,GB,51.0333,-4.2167,52.43,90,15,24.0
192,Atbasar,KZ,51.8,68.3333,13.44,91,100,7.11
193,Atasu,KZ,48.6814,71.6433,19.02,97,98,6.04
194,Campbellford,CA,44.3084,-77.7995,16.68,67,0,7.05
195,Pisco,PE,-13.7,-76.2167,69.85,83,0,11.5
196,Effingham,US,32.3669,-81.3332,74.86,85,100,11.48
197,Papara,BR,-3.9839,-38.7273,79.68,92,82,3.11
198,Hit,IQ,33.6416,42.8251,51.22,48,100,5.39
199,Gazanjyk,TM,39.2446,55.5154,43.84,67,99,3.4
200,Shelburne,CA,44.0787,-80.2041,12.18,89,86,7.56
201,Rumonge,BI,-3.9736,29.4386,70.41,83,57,4.25
